SampleId;MotionId;OriginalMotionType;StartTime;EndTime;Duration
359;1;SMASH_WITH_EFFECT;15529;17580;2051
359;2;SMASH_WITH_EFFECT;20670;22740;2070
359;3;FOREHAND_FLAT;29881;31801;1920
359;4;BACKHAND_SLICED;32581;34832;2251
359;5;FOREHAND_LIFTED;36542;38612;2070
359;6;BACKHAND_FLAT;42062;43393;1331
359;7;FOREHAND_SLICED;44903;46573;1670
359;8;BACKHAND_SLICED;48923;50854;1931
359;9;FOREHAND_LIFTED;52644;54754;2110
359;10;BACKHAND_FLAT;57144;59045;1901
359;11;FOREHAND_LIFTED;60485;62635;2150
359;12;BACKHAND_FLAT;65856;67226;1370
359;13;VOLLEY_FOREHAND;68806;70246;1440
359;14;VOLLEY_BACKHAND;70776;73317;2541
359;15;VOLLEY_FOREHAND;75167;76127;960
359;16;VOLLEY_BACKHAND;78517;79888;1371
359;17;VOLLEY_FOREHAND;82358;83268;910
359;18;VOLLEY_BACKHAND;85578;86969;1391
